filename,class,xmin,xmax,ymin,ymax
0000599864fd15b3.jpg,Bus,0.34375,0.90875,0.156162,0.650047
00006bdb1eb5cd74.jpg,Truck,0.276667,0.6975,0.141604,0.437343
00006bdb1eb5cd74.jpg,Truck,0.7025,0.999167,0.204261,0.4097739999999999
00010bf498b64bab.jpg,Bus,0.15625,0.37125,0.269188,0.705228
00036603fa39fa85.jpg,Truck,0.058125,0.983125,0.053333,0.94
0004d5a9dd44ab6a.jpg,Truck,0.035625,0.188125,0.189893,0.320827
0004d5a9dd44ab6a.jpg,Truck,0.094375,0.8975,0.147014,0.93415
0004d5a9dd44ab6a.jpg,Truck,0.860625,0.999375,0.249617,0.390505
00072b81abc72d21.jpg,Truck,0.1625,0.9275,0.26779,0.932584
000780f791b71252.jpg,Bus,0.0,0.99875,0.0,0.998333
0007eeeabf3c5e5c.jpg,Bus,0.156875,0.720625,0.252222,0.733333
0007eeeabf3c5e5c.jpg,Bus,0.620625,0.999375,0.406667,0.647778
000817a6f6819e73.jpg,Truck,0.05,0.589375,0.185741,0.822702
000924a411c24d25.jpg,Bus,0.25,0.7325,0.2101309999999999,0.8658540000000001
000924a411c24d25.jpg,Bus,0.0,0.086875,0.4296439999999999,0.702627
000924a411c24d25.jpg,Bus,0.09375,0.27625,0.366792,0.669794
000924a411c24d25.jpg,Bus,0.72125,0.9425,0.469981,0.634146
000924a411c24d25.jpg,Bus,0.77,0.999375,0.4803,0.63227
0009b74be294a699.jpg,Bus,0.30125,0.40875,0.469167,0.618333
0009da46ef64adb7.jpg,Bus,0.536875,0.759375,0.487331,0.798986
000d2e3d33b18463.jpg,Bus,0.0,0.214844,0.448611,0.856944
000e83dc68db5ca8.jpg,Bus,0.0,0.999375,0.0,0.88
001017b68b67625c.jpg,Truck,0.670932,0.711152,0.509756,0.556098
001017b68b67625c.jpg,Truck,0.826325,0.998172,0.792683,0.912195
00118c8deaacd309.jpg,Bus,0.0,0.30875,0.35,0.673333
0011d11a6a5ab5ad.jpg,Bus,0.03125,0.4025,0.114452,0.392823
0011d11a6a5ab5ad.jpg,Truck,0.331875,0.918125,0.13579,0.953443
00120856d5e5a192.jpg,Truck,0.031875,0.94875,0.21,0.955833
00120856d5e5a192.jpg,Truck,0.264375,0.720625,0.290833,0.421667
00120856d5e5a192.jpg,Truck,0.86375,0.93625,0.36,0.484167
00120856d5e5a192.jpg,Truck,0.89375,0.999375,0.340833,0.476667
00121be7c1e76f83.jpg,Bus,0.27625,0.620625,0.3975,0.628333
00121be7c1e76f83.jpg,Bus,0.73,0.999375,0.3925,0.610833
0015ed86d644a332.jpg,Bus,0.00375,0.2125,0.409128,0.904646
0015ed86d644a332.jpg,Bus,0.31,0.95,0.3895679999999999,0.895681
0015ed86d644a332.jpg,Bus,0.57625,0.839375,0.321108,0.414018
00166578c691cd43.jpg,Bus,0.150833,0.805833,0.2725,0.73125
00192c1070c51ae3.jpg,Bus,0.27125,0.835,0.093809,0.8283299999999999
001bdbbf7a3ac993.jpg,Bus,0.0,0.9825,0.0175,0.999167
001ca84e28488f7a.jpg,Bus,0.250625,0.999375,0.0,0.491063
001fa861abda39f6.jpg,Truck,0.1625,0.733125,0.165103,0.8911819999999999
00224280c029ddbb.jpg,Bus,0.593137,0.95915,0.665033,0.723856
0022c71c13d0edc6.jpg,Bus,0.245,0.769375,0.416667,0.795
002521102ecfac4c.jpg,Bus,0.294167,0.863333,0.335625,0.885625
0025e76bf1c441bf.jpg,Truck,0.12625,0.2,0.400833,0.465
0025e76bf1c441bf.jpg,Truck,0.179375,0.24125,0.3975,0.47
0025e76bf1c441bf.jpg,Truck,0.351875,0.999375,0.0,0.999167
0026b117bb17880a.jpg,Truck,0.024375,0.708125,0.348333,0.651667
00272dd158c0663a.jpg,Truck,0.12625,0.82125,0.1350839999999999,0.8499059999999999
0028ce95bf98cb9a.jpg,Truck,0.104375,0.88375,0.358646,0.861848
0028ce95bf98cb9a.jpg,Truck,0.710625,0.965625,0.083257,0.231473
00296b0c54457743.jpg,Truck,0.001875,0.915625,0.2333329999999999,0.968333
00296b0c54457743.jpg,Bus,0.0,0.97625,0.251667,0.965833
00296b0c54457743.jpg,Truck,0.856875,0.999375,0.6533329999999999,0.844167
002aeab534f0007a.jpg,Bus,0.215,0.2475,0.416667,0.464167
002c48dd05cc3b85.jpg,Bus,0.081875,0.961875,0.059099,0.941839
002d16836e9fae5e.jpg,Truck,0.013125,0.861875,0.209193,0.9606
002d8e9b02252a4c.jpg,Bus,0.220625,0.7675,0.040833,0.775833
002dab7b4f062545.jpg,Truck,0.275625,0.86625,0.086667,0.91
00310d0abf32cc01.jpg,Bus,0.0,0.896875,0.0,0.999066
00310d0abf32cc01.jpg,Bus,0.88875,0.97375,0.3744159999999999,0.7329600000000001
00347f583cd63d8f.jpg,Bus,0.275,0.938125,0.4475,0.7975
0034bd453281c508.jpg,Truck,0.289375,0.705625,0.245833,0.78
003551f1525e49af.jpg,Truck,0.303125,0.929375,0.374167,0.911667
0036a36486be5fa0.jpg,Truck,0.076875,0.9,0.268333,0.6775
003701c6de4ab948.jpg,Truck,0.140625,0.16375,0.533333,0.574167
003701c6de4ab948.jpg,Truck,0.255625,0.685625,0.3108329999999999,0.763333
003c626822b36f8c.jpg,Truck,0.116203,0.90671,0.545673,0.997596
003c79998bb42640.jpg,Bus,0.023684,0.1486839999999999,0.597959,0.6612239999999999
003c79998bb42640.jpg,Bus,0.4197369999999999,0.594737,0.6122449999999999,0.730612
003d689c47e27006.jpg,Truck,0.0,0.99625,0.248428,0.998952
